date_enregistrement,ville,date_prevision,temp_predite_modele,temp_observee_api,humidity_api,pressure_api,wind_speed_api
2025-07-07 22:57:13,Lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 22:57:13,Lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 22:57:28,paris,2025-07-08,23.4,22.79,51,1020,1.69
2025-07-07 22:57:28,paris,2025-07-09,26.29,26.29,43,1022,2.48
2025-07-07 22:57:32,Tokyo,2025-07-08,32.0,33.69,74,1011,5.17
2025-07-07 22:57:32,Tokyo,2025-07-09,32.97,32.97,78,1011,3.84
2025-07-07 22:57:37,los angeles,2025-07-08,27.8,29.41,28,1016,4.62
2025-07-07 22:57:37,los angeles,2025-07-09,32.23,32.23,21,1014,4.25
2025-07-07 22:57:47,New York,2025-07-08,29.6,35.22,40,1013,5.7
2025-07-07 22:57:47,New York,2025-07-09,31.22,31.22,62,1014,6.88
2025-07-07 22:57:59,Dubai,2025-07-08,29.9,38.22,52,996,2.59
2025-07-07 22:57:59,Dubai,2025-07-09,34.34,34.34,67,996,1.7
2025-07-07 22:59:42,Lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 22:59:42,Lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:06:48,Lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 23:06:48,Lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:07:16,tokyo,2025-07-08,32.0,33.69,74,1011,5.17
2025-07-07 23:07:16,tokyo,2025-07-09,32.97,32.97,78,1011,3.84
2025-07-07 23:11:59,lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 23:11:59,lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:17:08,Lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 23:17:08,Lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:17:16,Tokyo,2025-07-08,32.0,33.69,74,1011,5.17
2025-07-07 23:17:16,Tokyo,2025-07-09,32.97,32.97,78,1011,3.84
2025-07-07 23:17:23,lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 23:17:23,lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:21:26,lyon,2025-07-08,26.6,26.54,73,1020,0.98
2025-07-07 23:21:26,lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:21:31,tokyo,2025-07-08,32.0,33.69,74,1011,5.17
2025-07-07 23:21:31,tokyo,2025-07-09,32.97,32.97,78,1011,3.84
2025-07-07 23:21:36,paris,2025-07-08,23.4,22.79,51,1020,1.69
2025-07-07 23:21:36,paris,2025-07-09,26.29,26.29,43,1022,2.48
2025-07-07 23:21:42,rio,2025-07-08,28.4,28.6,62,1010,1.19
2025-07-07 23:21:42,rio,2025-07-09,28.25,28.25,75,1008,4.39
2025-07-07 23:21:48,new york,2025-07-08,29.6,35.22,40,1013,5.7
2025-07-07 23:21:48,new york,2025-07-09,31.22,31.22,62,1014,6.88
2025-07-07 23:22:47,lyon,2025-07-08,26.5,26.54,73,1020,0.98
2025-07-07 23:22:47,lyon,2025-07-09,24.96,24.96,61,1021,1.03
2025-07-07 23:59:31,Lyon,2025-07-08,26.5,26.54,73,1020,0.98
2025-07-07 23:59:31,Lyon,2025-07-09,24.96,24.96,61,1021,1.03
